#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.01	0.000000	0.000000	0.000000	0.000000	0.000000	169.000000
0.02	0.006849	0.015101	-0.010956	0.003937	0.000000	287.000000
0.03	0.000000	0.001678	-0.024900	0.078740	-0.002000	383.000000
0.04	-0.047945	0.003356	0.004980	0.000000	0.000000	464.000000
0.05	-0.020548	-0.043624	0.015936	0.122047	0.009000	527.000000
0.06	0.054795	-0.041946	-0.017928	0.200787	0.008000	570.000000
0.07	0.006849	-0.043624	0.003984	0.161417	0.010000	623.000000
0.08	0.082192	-0.062081	0.019920	0.106299	0.011000	668.000000
0.09	0.109589	-0.065436	0.035857	0.102362	0.019500	711.000000
0.1	0.116438	-0.093960	0.070717	0.062992	0.024000	756.000000
0.11	0.191781	-0.145973	0.107570	0.023622	0.027500	798.000000
0.12	0.178082	-0.201342	0.138446	0.051181	0.029000	836.000000
0.13	0.178082	-0.191275	0.129482	0.133858	0.038000	872.000000
0.14	-0.027397	-0.154362	0.135458	0.086614	0.031000	909.000000
0.15	-0.034247	-0.132550	0.137450	0.090551	0.038500	938.000000
0.16	-0.041096	-0.093960	0.106574	0.177165	0.045000	969.000000
0.17	-0.041096	-0.120805	0.115538	0.248031	0.050500	1000.000000
0.18	-0.041096	-0.102349	0.119522	0.248031	0.058000	1028.000000
0.19	-0.109589	-0.005034	0.094622	0.165354	0.059000	1064.000000
0.2	-0.082192	-0.080537	0.143426	0.165354	0.063000	1097.000000
0.21	-0.212329	-0.008389	0.106574	0.248031	0.067000	1132.000000
0.22	-0.143836	-0.005034	0.094622	0.216535	0.063000	1159.000000
0.23	-0.123288	0.015101	0.103586	0.122047	0.063000	1198.000000
0.24	-0.123288	-0.013423	0.128486	0.173228	0.073500	1223.000000
0.25	0.082192	0.052013	0.108566	0.086614	0.087000	1251.000000
0.26	-0.041096	0.043624	0.131474	0.094488	0.088000	1278.000000
0.27	0.020548	-0.088926	0.189243	0.086614	0.081000	1315.000000
0.28	-0.041096	-0.057047	0.176295	0.125984	0.084500	1350.000000
0.29	-0.109589	-0.055369	0.205179	0.094488	0.090500	1371.000000
