#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.01	0.000000	-0.013423	0.009960	0.000000	0.001000	150.000000
0.02	-0.006849	0.000000	0.000000	-0.003937	-0.001000	295.000000
0.03	-0.006849	0.003356	-0.011952	0.043307	0.000000	386.000000
0.04	-0.006849	0.015101	0.009960	-0.074803	-0.000500	460.000000
0.05	0.054795	-0.003356	0.014940	-0.118110	-0.004500	535.000000
0.06	0.061644	0.016779	0.026892	-0.200787	-0.002500	582.000000
0.07	0.123288	-0.031879	0.046813	-0.200787	-0.002500	637.000000
0.08	0.047945	-0.053691	0.041833	-0.129921	-0.008000	675.000000
0.09	0.054795	0.041946	0.003984	-0.208661	-0.008000	725.000000
0.1	0.136986	0.110738	-0.017928	-0.236220	0.004000	765.000000
0.11	0.205479	0.115772	-0.019920	-0.224409	0.011000	806.000000
0.12	0.212329	0.187919	-0.056773	-0.181102	0.020000	836.000000
0.13	0.157534	0.154362	-0.043825	-0.102362	0.022500	865.000000
0.14	0.239726	0.132550	-0.052789	-0.007874	0.029500	896.000000
0.15	0.260274	0.115772	-0.044821	0.035433	0.035500	927.000000
0.16	0.390411	0.073826	-0.059761	0.169291	0.042000	962.000000
0.17	0.390411	0.112416	-0.070717	0.125984	0.042500	990.000000
0.18	0.465753	0.100671	-0.067729	0.118110	0.045000	1026.000000
0.19	0.383562	0.088926	-0.067729	0.204724	0.046500	1054.000000
0.2	0.321918	0.147651	-0.088645	0.279528	0.058500	1084.000000
0.21	0.321918	0.072148	-0.011952	0.204724	0.065000	1113.000000
0.22	0.315068	0.109060	0.011952	0.216535	0.089000	1149.000000
0.23	0.212329	0.223154	-0.027888	0.283465	0.104000	1181.000000
0.24	0.226027	0.221477	-0.049801	0.377953	0.105500	1213.000000
0.25	0.171233	0.196309	-0.006972	0.366142	0.114000	1234.000000
