#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.01	0.000000	0.016779	-0.009960	0.000000	0.000000	172.000000
0.02	0.068493	0.003356	-0.034861	0.122047	0.004000	282.000000
0.03	0.068493	0.010067	-0.028884	0.114173	0.008000	384.000000
0.04	-0.006849	-0.023490	-0.004980	0.118110	0.005000	463.000000
0.05	0.000000	-0.023490	0.005976	0.078740	0.006000	542.000000
0.06	0.027397	-0.046980	-0.011952	0.196850	0.007000	607.000000
0.07	-0.034247	-0.109060	0.052789	0.153543	0.011000	657.000000
0.08	-0.034247	-0.132550	0.044821	0.192913	0.005000	709.000000
0.09	0.027397	-0.187919	0.065737	0.204724	0.005000	744.000000
0.1	-0.184932	-0.151007	0.052789	0.248031	-0.000500	781.000000
0.11	-0.047945	-0.114094	0.043825	0.251969	0.016500	821.000000
0.12	-0.068493	-0.149329	0.021912	0.370079	0.008500	864.000000
0.13	-0.075342	-0.161074	0.048805	0.338583	0.014000	899.000000
0.14	-0.150685	-0.105705	0.057769	0.204724	0.012500	937.000000
0.15	-0.157534	-0.152685	0.069721	0.334646	0.020500	972.000000
0.16	-0.136986	-0.172819	0.101594	0.255906	0.022000	1003.000000
0.17	-0.136986	-0.216443	0.097610	0.413386	0.027000	1031.000000
0.18	0.000000	-0.238255	0.068725	0.366142	0.010000	1061.000000
0.19	-0.006849	-0.290268	0.074701	0.440945	0.006500	1089.000000
0.2	0.000000	-0.320470	0.057769	0.602362	0.010000	1118.000000
0.21	0.027397	-0.337248	0.045817	0.677165	0.010500	1153.000000
0.22	-0.095890	-0.315436	0.008964	0.917323	0.020000	1187.000000
0.23	-0.157534	-0.303691	0.025896	0.870079	0.021500	1229.000000
0.24	-0.239726	-0.340604	0.075697	0.826772	0.024000	1259.000000
0.25	-0.198630	-0.338926	0.104582	0.826772	0.042000	1289.000000
0.26	-0.205479	-0.417785	0.157371	0.818898	0.043500	1327.000000
0.27	-0.075342	-0.414430	0.174303	0.740157	0.052500	1355.000000
0.28	0.054795	-0.380872	0.122510	0.748031	0.047000	1383.000000
0.29	0.205479	-0.345638	0.049801	0.795276	0.038000	1410.000000
0.3	0.082192	-0.318792	0.006972	0.877953	0.026000	1431.000000
0.31	0.232877	-0.325503	-0.007968	0.929134	0.034000	1463.000000
0.32	0.013699	-0.303691	0.038845	0.838583	0.036500	1494.000000
0.33	0.027397	-0.350671	0.075697	0.842520	0.042500	1511.000000
0.34	0.315068	-0.375839	0.106574	0.681102	0.051000	1550.000000
0.35	0.335616	-0.406040	0.185259	0.531496	0.064000	1579.000000
0.36	0.253425	-0.458054	0.154382	0.598425	0.035500	1633.000000
0.37	0.184932	-0.382550	0.142430	0.570866	0.043500	1669.000000
