#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
0.75	-0.883562	0.167785	0.216135	1.299213	0.259000	2838.000000
0.76	-0.938356	0.248322	0.216135	1.259843	0.274000	2870.000000
0.77	-0.938356	0.246644	0.197211	1.212598	0.258000	2902.000000
0.78	-0.767123	0.236577	0.151394	1.267717	0.251500	2929.000000
0.79	-0.650685	0.359060	0.096614	1.425197	0.289000	2958.000000
0.8	-0.719178	0.385906	0.102590	1.354331	0.286000	2988.000000
0.81	-0.678082	0.461409	0.009960	1.448819	0.277000	3014.000000
0.82	-0.842466	0.593960	0.003984	1.480315	0.305500	3056.000000
0.83	-1.123288	0.610738	0.025896	1.602362	0.316500	3080.000000
0.84	-1.136986	0.530201	0.051793	1.527559	0.295000	3110.000000
0.85	-1.280822	0.461409	0.118526	1.562992	0.302000	3143.000000
0.86	-1.369863	0.473154	0.063745	1.523622	0.266500	3179.000000
0.87	-1.219178	0.461409	0.020916	1.547244	0.255500	3215.000000
0.88	-1.363014	0.568792	0.028884	1.468504	0.271000	3247.000000
0.89	-1.294521	0.531879	0.056773	1.468504	0.279000	3278.000000
0.9	-1.506849	0.526846	0.034861	1.547244	0.261000	3307.000000
0.91	-1.575342	0.496644	0.064741	1.433071	0.247500	3333.000000
0.92	-1.643836	0.562081	0.111554	1.224409	0.259000	3360.000000
0.93	-1.780822	0.624161	0.052789	1.224409	0.238000	3401.000000
0.94	-1.849315	0.645973	0.014940	1.342520	0.235500	3423.000000
0.95	-1.917808	0.708054	-0.050797	1.181102	0.195500	3456.000000
0.96	-1.979452	0.662752	-0.019920	1.102362	0.183000	3485.000000
0.97	-1.986301	0.587248	0.003984	1.145669	0.177500	3518.000000
0.98	-1.897260	0.568792	0.007968	1.248031	0.193500	3550.000000
0.99	-1.698630	0.615772	0.051793	1.224409	0.241000	3601.000000
1	-1.541096	0.511745	0.093625	1.240157	0.244500	3631.000000
1.01	-1.767123	0.577181	0.084661	1.204724	0.238500	3660.000000
1.02	-1.486301	0.572148	0.062749	1.082677	0.231000	3694.000000
1.03	-1.328767	0.578859	0.016932	1.051181	0.217500	3720.000000
1.04	-1.280822	0.578859	-0.040837	1.114173	0.200000	3754.000000
1.05	-1.205479	0.526846	-0.056773	1.228346	0.196500	3783.000000
1.06	-1.136986	0.511745	-0.083665	1.346457	0.198500	3814.000000
1.07	-1.000000	0.602349	-0.206175	1.401575	0.181000	3844.000000
1.08	-0.917808	0.568792	-0.235060	1.437008	0.167000	3867.000000
1.09	-1.068493	0.476510	-0.227092	1.374016	0.124500	3890.000000
1.1	-0.801370	0.449664	-0.269920	1.405512	0.118500	3920.000000
1.11	-0.801370	0.479866	-0.266932	1.366142	0.124000	3955.000000
1.12	-0.856164	0.496644	-0.219124	1.448819	0.159500	3988.000000
1.13	-0.972603	0.498322	-0.212151	1.496063	0.161000	4009.000000
1.14	-0.890411	0.553691	-0.199203	1.507874	0.191500	4040.000000
1.15	-0.945205	0.580537	-0.194223	1.452756	0.191000	4078.000000
1.16	-1.219178	0.568792	-0.191235	1.543307	0.180500	4109.000000
1.17	-1.205479	0.617450	-0.200199	1.858268	0.231500	4141.000000
1.18	-1.130137	0.610738	-0.225100	1.818898	0.217500	4178.000000
1.19	-1.246575	0.728188	-0.257968	1.783465	0.223000	4200.000000
1.2	-1.109589	0.728188	-0.252988	1.708661	0.226000	4239.000000
1.21	-1.184932	0.815436	-0.316733	1.822835	0.229000	4273.000000
1.22	-0.924658	0.914430	-0.355578	1.696850	0.242000	4297.000000
1.23	-0.630137	0.958054	-0.377490	1.700787	0.266000	4328.000000
1.24	-0.616438	0.947987	-0.396414	1.681102	0.252000	4355.000000
1.25	-0.739726	0.909396	-0.430279	1.724409	0.220000	4399.000000
1.26	-0.876712	0.978188	-0.401394	1.610236	0.230500	4430.000000
1.27	-0.760274	1.028523	-0.415339	1.578740	0.243000	4460.000000
1.28	-0.678082	1.031879	-0.400398	1.539370	0.252500	4484.000000
1.29	-0.664384	0.989933	-0.368526	1.511811	0.253500	4510.000000
1.3	-0.458904	1.008389	-0.413347	1.511811	0.251500	4532.000000
1.31	-0.390411	1.075503	-0.412351	1.503937	0.276000	4554.000000
1.32	-0.506849	1.063758	-0.350598	1.496063	0.294000	4585.000000
1.33	-0.342466	1.092282	-0.376494	1.578740	0.312000	4617.000000
1.34	-0.397260	1.085570	-0.362550	1.708661	0.329500	4636.000000
1.35	-0.383562	1.124161	-0.352590	1.704724	0.346500	4673.000000
1.36	-0.356164	1.120805	-0.327689	1.708661	0.360500	4708.000000
1.37	-0.493151	1.132550	-0.335657	1.720472	0.351500	4747.000000
1.38	-0.356164	1.157718	-0.328685	1.653543	0.364000	4787.000000
1.39	-0.438356	1.208054	-0.364542	1.622047	0.351000	4820.000000
1.4	-0.410959	1.218121	-0.324701	1.736220	0.390500	4843.000000
1.41	-0.404110	1.192953	-0.284861	1.724409	0.402000	4879.000000
1.42	-0.349315	1.310403	-0.278884	1.625984	0.431500	4918.000000
1.43	-0.342466	1.197987	-0.270916	1.720472	0.414500	4950.000000
1.44	-0.410959	1.278523	-0.360558	1.515748	0.362500	4980.000000
1.45	-0.417808	1.531879	-0.326693	1.472441	0.449000	5006.000000
1.46	-0.500000	1.454698	-0.251992	1.755906	0.493500	5043.000000
1.47	-0.547945	1.541946	-0.287849	1.602362	0.478500	5085.000000
1.48	-0.534247	1.526846	-0.256972	1.570866	0.486500	5108.000000
1.49	-0.390411	1.610738	-0.285857	1.582677	0.509000	5139.000000
1.5	-0.376712	1.634228	-0.268924	1.708661	0.541500	5169.000000
1.51	-0.171233	1.536913	-0.269920	1.633858	0.517500	5194.000000
1.52	-0.027397	1.568792	-0.232072	1.767717	0.573500	5218.000000
1.53	-0.082192	1.550336	-0.209163	1.696850	0.566500	5247.000000
1.54	-0.116438	1.590604	-0.154382	1.696850	0.603500	5280.000000
1.55	-0.047945	1.498322	-0.174303	1.677165	0.568500	5314.000000
1.56	-0.068493	1.585570	-0.161355	1.377953	0.561500	5336.000000
1.57	-0.061644	1.661074	-0.206175	1.551181	0.584000	5364.000000
1.58	0.157534	1.610738	-0.225100	1.681102	0.592000	5399.000000
1.59	0.232877	1.679530	-0.320717	1.685039	0.570500	5427.000000
1.6	0.315068	1.741611	-0.302789	1.598425	0.593000	5462.000000
1.61	0.465753	1.760067	-0.330677	1.598425	0.595500	5490.000000
1.62	0.458904	1.890940	-0.359562	1.637795	0.624500	5522.000000
1.63	0.130137	1.917785	-0.336653	1.547244	0.608500	5551.000000
1.64	0.143836	2.023490	-0.247012	1.692913	0.704500	5575.000000
1.65	-0.047945	1.912752	-0.215139	1.830709	0.691000	5606.000000
1.66	-0.130137	2.020134	-0.203187	1.629921	0.697500	5638.000000
1.67	-0.390411	2.040268	-0.194223	1.901575	0.723500	5671.000000
1.68	-0.589041	2.026846	-0.194223	1.996063	0.717000	5699.000000
1.69	-0.650685	2.023490	-0.202191	1.996063	0.707500	5743.000000
1.7	-0.719178	2.063758	-0.208167	2.074803	0.721500	5775.000000
1.71	-0.623288	2.013423	-0.211155	2.165354	0.723500	5803.000000
1.72	-0.650685	1.954698	-0.246016	2.023622	0.668500	5827.000000
1.73	-0.506849	1.911074	-0.364542	1.988189	0.602000	5860.000000
1.74	-0.568493	1.802013	-0.379482	1.937008	0.551000	5886.000000
1.75	-0.643836	1.823826	-0.354582	1.763780	0.542500	5905.000000
1.76	-0.712329	1.817114	-0.318725	1.724409	0.548500	5937.000000
1.77	-0.767123	2.008389	-0.358566	1.783465	0.589000	5967.000000
1.78	-1.123288	2.065436	-0.248008	1.842520	0.643000	5992.000000
1.79	-1.116438	2.003356	-0.199203	1.858268	0.651500	6019.000000
1.8	-1.232877	2.154362	-0.140438	1.874016	0.719500	6050.000000
1.81	-1.226027	2.243289	-0.182271	1.795276	0.715500	6076.000000
1.82	-1.376712	2.199664	-0.184263	1.913386	0.705500	6105.000000
1.83	-1.486301	2.058725	-0.114542	2.000000	0.701500	6139.000000
1.84	-1.705479	2.001678	-0.144422	2.157480	0.673500	6179.000000
1.85	-1.582192	1.947987	-0.100598	2.043307	0.674000	6211.000000
1.86	-2.054795	1.845638	-0.041833	2.165354	0.654000	6237.000000
1.87	-1.986301	1.850671	-0.085657	2.173228	0.639500	6266.000000
1.88	-1.691781	1.832215	-0.136454	2.059055	0.615500	6297.000000
1.89	-1.678082	1.776846	-0.087649	2.141732	0.635000	6334.000000
1.9	-1.753425	1.552013	-0.081673	2.133858	0.564500	6354.000000
1.91	-1.876712	1.567114	-0.080677	2.212598	0.570500	6384.000000
1.92	-2.082192	1.612416	-0.062749	2.362205	0.597000	6420.000000
1.93	-2.212329	1.610738	-0.049801	2.496063	0.610500	6445.000000
1.94	-2.020548	1.567114	-0.026892	2.401575	0.611000	6487.000000
1.95	-2.075342	1.610738	-0.009960	2.437008	0.633000	6522.000000
1.96	-2.075342	1.602349	-0.040837	2.326772	0.601000	6554.000000
1.97	-2.130137	1.723154	-0.102590	2.271654	0.595000	6581.000000
1.98	-2.198630	1.703020	-0.128486	2.161417	0.557000	6611.000000
1.99	-2.383562	1.744966	-0.158367	2.141732	0.538500	6636.000000
2	-2.458904	1.686242	-0.241036	2.066929	0.464500	6667.000000
2.01	-2.321918	1.755034	-0.259960	1.984252	0.475000	6698.000000
